"dep"|"slug"|"rec"|"rec_url"
"Estado de Veracruz"|"estado-de-veracruz"|"Programa de Ordenamiento Territorial"|"https://drive.google.com/folderview?id=0B87bmmJLaLIgfkg5NU43NGl4Mk1aVlh3R2R4RzV5cTBma3ZzS2c3N1hHakpmeVVkLTlodE0&usp=sharing&tid=0B87bmmJLaLIgfjcxYVVqSF9YVnpjcmh6M2dfVkRfYWNUb2tUNE5rRDl0QXR5bVpoa3hwTUk"
"Estado de Veracruz"|"estado-de-veracruz"|"rango anual de tormentas electricas por localidad"|"https://www.dropbox.com/s/ogr2g2t0rwfkmw8/LOCALIDADES%20SUSCEPTIBLES%20DE%20TORMENTAS%20ELECTRICAS%2C%20DISTRIBUIDAS%20POR%20RANGO%20ANUAL.xlsx?dl=0"
"Estado de Veracruz"|"estado-de-veracruz"|"refugios temporales"|"https://www.dropbox.com/s/xnavo3t9ytwh21l/REFUGIOS%20TEMPORALES%20EN%20EL%20ESTADO.xlsx?dl=0"
"Estado de Veracruz"|"estado-de-veracruz"|"sismos con epicentro en el estado de veracruz 2011-2015"|"https://www.dropbox.com/s/nstu2g48rnj2rr2/SISMOS%20CON%20EPICENTRO%20EN%20VERACRUZ%20PERIODO%202010-2013.xlsx?dl=0"
"Estado de Veracruz"|"estado-de-veracruz"|"Inventario Institucional de Datos de Estado de Veracruz"|"https://adela-production.s3.amazonaws.com/uploads/inventory/spreadsheet_file/1052/Inventario_general_de_datos_GRALVER3edited.xls"
"API-COA"|"api-coa"|"Programa Anual de Adquisiciones, Arrendamientos y Servicios"|"http://www.puertocoatzacoalcos.com.mx/datos/Programa_Anual_de_Adquisiciones_2015.csv"
"API-COA"|"api-coa"|"Programa de Inversión Anual de Obra Pública y Mantenimiento."|"http://www.puertocoatzacoalcos.com.mx/datos/PROGRAMA_INVERSION_Y_MANTENIMIENTO_2015.csv"
"API-COA"|"api-coa"|"Manifiestos de Impacto Ambiental para Obras de Construcción. PDF"|"http://www.puertocoatzacoalcos.com.mx/datos/RESUMEN_MIA_PUENTES_PAJARITOS.pdf"
"API-COA"|"api-coa"|"Manifiestos de Impacto Ambiental para Obras de Construcción.TXT"|"http://www.puertocoatzacoalcos.com.mx/datos/RESUMEN_MIA_PUENTES_PAJARITOS.txt"
"API-COA"|"api-coa"|"Requerimientos del puesto a ocupar en la plantilla autorizada para la Entidad. PDF"|"http://puertocoatzacoalcos.com.mx/datos/DESCRIPTIVOS_PUESTO.pdf"
